company_id,company_name,inn,ogrn_year,region,okved_code,okved_section,founder_id,address_hash
C0001,ООО «Строй-Плюс-001»,7680402501,2019,Ненецкий АО,25.11,Производство металлоконструкций,FND-81426,5d50d22735a7
C0002,ООО «Союз-Инвест-002»,3193008687,2008,Курганская обл.,62.01,Разработка ПО,FND-26361,38ccdf8d538d
C0003,ПАО «Трейд-Корп-003»,679883481,2020,Ивановская обл.,86.21,Частная медицина,FND-37460,f06ae085fe74
C0004,ПАО «Партнёр-Маркет-004»,1396568720,2015,Архангельская обл.,10.71,Производство хлебобулочных изделий,FND-62581,6b4e2b937613
C0005,ООО «Техно-Логистик-005»,3942252583,2020,Ульяновская обл.,20.16,Производство пластмасс,FND-28131,e85cc63b4f0f
C0006,ПАО «Прогресс-Ко-006»,6535425961,2023,Республика Крым,46.9,Оптовая торговля,FND-44973,6fe6a8a6e6cb
C0007,ПАО «Капитал-Плюс-007»,5168513199,2019,Москва,43.21,Электромонтажные работы,FND-88504,be3b0b544433
C0008,ООО «Омега-Маркет-008»,8904077145,2019,Тульская обл.,69.2,Аудит и бухгалтерия,FND-79163,84fec9a8e458
C0009,ПАО «Монолит-Инвест-009»,9645123522,2018,Ростовская обл.,11.01,Производство алкогольных напитков,FND-92719,eeb69a3cb923
C0010,ПАО «Строй-Холдинг-010»,6219547810,2012,Мурманская обл.,46.9,Оптовая торговля,FND-56438,f75b757d3459
C0011,ООО «Северный-Корп-011»,3821442294,2012,Чувашская Республика,46.9,Оптовая торговля,FND-22833,ce78d1da254c
C0012,ООО «Южный-Логистик-012»,4891039726,2018,Севастополь,47.11,Розничная торговля,FND-96752,8207f8d79c22
C0013,ООО «Партнёр-Сервис-013»,558190156,2023,Республика Крым,49.41,Грузоперевозки автомобильным транспортом,FND-62923,d46e1fcf4c07
C0014,ПАО «Сигма-Инвест-014»,6532632164,2023,Республика Крым,52.29,Транспортная логистика,FND-11220,054ab8970236
C0015,ПАО «Логист-Плюс-015»,9883187696,2023,Республика Крым,25.11,Производство металлоконструкций,FND-97538,a2b15837edac
C0016,АО «Промт-Групп-016»,7122368529,2015,Новосибирская обл.,25.11,Производство металлоконструкций,FND-22097,f75b757d3459
C0017,ПАО «Логист-Плюс-017»,7540089585,2015,Тюменская обл.,47.11,Розничная торговля,FND-66333,bf424cb7b0de
C0018,ПАО «Строй-Инжиниринг-018»,1784619898,2018,Республика Дагестан,46.9,Оптовая торговля,FND-13248,6c990b7aca7b
C0019,АО «Прогресс-Ко-019»,7304193882,2018,Республика Алтай,55.1,Гостиницы,FND-35313,ac10ec1ace51
C0020,АО «Техно-Пром-020»,3959191921,2019,Мурманская обл.,10.71,Производство хлебобулочных изделий,FND-55309,5ef99d16d195
C0021,АО «Омега-Корп-021»,4586971499,2018,Республика Тыва,25.11,Производство металлоконструкций,FND-51145,71e09b16e21f
C0022,АО «Северный-Корп-022»,2149696350,2021,Рязанская обл.,2.4,Лесозаготовка,FND-69325,544defa9fddf
C0023,ПАО «Трейд-Пром-023»,4971056387,2022,Пензенская обл.,70.22,Управленческий консалтинг,FND-39444,f8037f94e53f
C0024,АО «Южный-Инжиниринг-024»,5733168887,2012,Ульяновская обл.,52.29,Транспортная логистика,FND-33053,18c7c32f90d2
C0025,АО «Вектор-Ко-025»,4553748849,2012,Республика Коми,52.29,Транспортная логистика,FND-30861,24389bfe4fe2
C0026,АО «Техно-Маркет-026»,2022351267,2023,Нижегородская обл.,62.01,Разработка ПО,FND-64377,87475f2c1909
C0027,АО «Капитал-Торг-027»,9085492388,2021,Курганская обл.,55.1,Гостиницы,FND-81582,c8b783b9d0a8
C0028,ООО «Северный-Сервис-028»,6778995956,2022,Самарская обл.,52.29,Транспортная логистика,FND-94246,b47767f992ce
C0029,АО «Трейд-Логистик-029»,3737820059,2021,Удмуртская Республика,43.21,Электромонтажные работы,FND-39389,c21002f464c5
C0030,ООО «Инвест-Трейд-030»,6241942369,2018,Пермский край,46.9,Оптовая торговля,FND-31465,5a9542c77301
C0031,АО «Союз-Маркет-031»,661786197,2021,Удмуртская Республика,62.02,IT-консалтинг,FND-79827,448d5eda7989
C0032,АО «Инвест-Логистик-032»,1968747928,2008,Курганская обл.,2.4,Лесозаготовка,FND-73372,8a7cf65139a9
C0033,ООО «Логист-Логистик-033»,2463081273,2018,Чеченская Республика,20.16,Производство пластмасс,FND-46211,4cdcf18ba72a
C0034,АО «Ресурс-Ко-034»,2474024263,2021,Чувашская Республика,10.71,Производство хлебобулочных изделий,FND-79588,cb41f167917e
C0035,АО «Монолит-Холдинг-035»,2737961725,2022,Республика Хакасия,70.22,Управленческий консалтинг,FND-88222,fcfe9c770eb9
C0036,АО «Альфа-Корп-036»,5295618485,2015,Костромская обл.,62.02,IT-консалтинг,FND-72746,29263a8cf61f
C0037,ООО «Инвест-Групп-037»,4060153917,2022,Республика Ингушетия,62.01,Разработка ПО,FND-88135,943aa0fcda4e
C0038,ПАО «Южный-Холдинг-038»,5090762025,2019,Алтайский край,68.2,Аренда недвижимости,FND-10350,4ddb5b8d603f
C0039,АО «Союз-Холдинг-039»,7469766945,2018,Чукотский АО,1.11,Выращивание зерновых,FND-29528,48a79bcf6049
C0040,ПАО «Партнёр-Торг-040»,9443425458,2019,Курская обл.,46.9,Оптовая торговля,FND-89129,5e02b868a916
C0041,ПАО «Инвест-Холдинг-041»,5715429489,2008,Костромская обл.,20.16,Производство пластмасс,FND-55607,1e7875cf32d3
C0042,АО «Союз-Логистик-042»,2985433945,2023,Республика Крым,25.11,Производство металлоконструкций,FND-96200,0cc6928e741d
C0043,ПАО «Восточный-Ко-043»,212840677,2022,Пензенская обл.,49.41,Грузоперевозки автомобильным транспортом,FND-55977,09ab23b6b607
C0044,АО «Промт-Инжиниринг-044»,8475289253,2012,Чеченская Республика,52.29,Транспортная логистика,FND-76616,b166b57d1953
C0045,АО «Инвест-Трейд-045»,2259415355,2023,Орловская обл.,55.1,Гостиницы,FND-52176,05b8caaf6ba6
C0046,ООО «Атлас-Корп-046»,4939761919,2021,Брянская обл.,20.16,Производство пластмасс,FND-23154,cdbc9bca0a9f
C0047,ПАО «Вектор-Групп-047»,4936688833,2021,Сахалинская обл.,47.11,Розничная торговля,FND-80912,30bb3825e8f6
C0048,АО «Промт-Ко-048»,6846907231,2012,Республика Хакасия,62.02,IT-консалтинг,FND-64008,499864301513
C0049,ПАО «Мастер-Маркет-049»,4526468425,2021,Ростовская обл.,43.21,Электромонтажные работы,FND-55977,09ab23b6b607
C0050,АО «Трейд-Инвест-050»,8133260830,2023,Республика Крым,55.1,Гостиницы,FND-89482,e025b6279c1b
C0051,ПАО «Финанс-Сервис-051»,2127761060,2018,Республика Бурятия,62.02,IT-консалтинг,FND-14373,c622c085c04e
C0052,ПАО «Южный-Плюс-052»,2783521999,2020,Кировская обл.,10.71,Производство хлебобулочных изделий,FND-54396,7302e3f5e7c0
C0053,ПАО «Партнёр-Инжиниринг-053»,9983705466,2018,Республика Северная Осетия,41.2,Строительство зданий,FND-59941,5a2a330b175f
C0054,АО «Бизнес-Маркет-054»,6647610091,2023,Ярославская обл.,1.11,Выращивание зерновых,FND-80457,04048aeca2c0
C0055,АО «Техно-Групп-055»,8692624239,2015,Вологодская обл.,11.01,Производство алкогольных напитков,FND-81364,c344336196d5
C0056,ООО «Мастер-Маркет-056»,6507215072,2022,Белгородская обл.,49.41,Грузоперевозки автомобильным транспортом,FND-40539,543bec10c832
C0057,ООО «Ресурс-Холдинг-057»,7181375021,2015,Смоленская обл.,47.11,Розничная торговля,FND-78955,09fb05dd477d
C0058,ПАО «Промт-Логистик-058»,5907854904,2023,Забайкальский край,68.2,Аренда недвижимости,FND-65872,7eb7eabbe9bd
C0059,АО «Бизнес-Плюс-059»,265395460,2012,Пермский край,68.2,Аренда недвижимости,FND-95814,3ba07b63865f
C0060,АО «Атлас-Логистик-060»,3733296400,2018,Мурманская обл.,55.1,Гостиницы,FND-22656,6933b5648c59
C0061,ПАО «Атлас-Инжиниринг-061»,1367879635,2023,Белгородская обл.,46.9,Оптовая торговля,FND-30280,3e883840fee4
C0062,ООО «Капитал-Холдинг-062»,5889866098,2020,Калужская обл.,69.2,Аудит и бухгалтерия,FND-13794,db5cea26ca37
C0063,ООО «Прогресс-Плюс-063»,5416072433,2020,Курская обл.,62.02,IT-консалтинг,FND-84395,c42f76f3b235
C0064,ПАО «Сигма-Холдинг-064»,4464253165,2008,Республика Хакасия,41.2,Строительство зданий,FND-97442,64eec0c3fb6b
C0065,АО «Трейд-Ко-065»,1230713758,2018,Ивановская обл.,86.21,Частная медицина,FND-19447,6a711a119a8a
C0066,АО «Премиум-Инвест-066»,5741038689,2012,Челябинская обл.,55.1,Гостиницы,FND-67240,c4492cbe90fb
C0067,АО «Партнёр-Сервис-067»,2706517396,2021,Тюменская обл.,56.1,Рестораны и кафе,FND-40968,5d79099fcdf4
C0068,ООО «Капитал-Инжиниринг-068»,4774956686,2012,Иркутская обл.,43.21,Электромонтажные работы,FND-67640,8597a6cfa74d
C0069,АО «Металл-Групп-069»,3408088654,2008,Чувашская Республика,62.02,IT-консалтинг,FND-15376,0d7f9017fbda
C0070,ПАО «Вектор-Трейд-070»,4889060795,2022,Республика Калмыкия,49.41,Грузоперевозки автомобильным транспортом,FND-30807,680390c55bbd
C0071,ПАО «Бизнес-Трейд-071»,7600627698,2020,Брянская обл.,56.1,Рестораны и кафе,FND-55977,09ab23b6b607
C0072,ООО «Бизнес-Корп-072»,9337868765,2023,Республика Крым,62.02,IT-консалтинг,FND-97878,33cf42b38bbc
