group_type,group_key,companies_count,risk_companies_count,avg_criticality_score,max_criticality_score,interpretation,interpretation_reason
founder,FND-10167,1,7,3.7142857142857144,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-10178,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-10868,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-12048,1,7,3.7142857142857144,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-13113,1,1,2.6666666666666665,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-13248,1,2,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-13794,1,7,3.857142857142857,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-14160,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-14334,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-14851,1,2,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-15376,1,9,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-16957,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-17152,1,0,1.8,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-17770,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-18041,1,7,3.7142857142857144,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-18469,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-18569,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-19447,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-19742,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-20009,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-20104,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-20118,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-20295,1,1,2,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-20518,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-21107,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-21536,1,0,1.6666666666666667,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-21847,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-22097,1,1,2.2,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-22656,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-22833,1,2,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-23154,1,3,3.3333333333333335,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-24920,1,3,3.3333333333333335,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-25533,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-26059,1,2,3.3333333333333335,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-26343,1,0,1,1,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-26662,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-26884,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-26950,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-27047,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-27102,1,1,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-28070,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-28220,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-28333,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-28367,1,0,1.5,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-28590,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-28661,1,2,3.5,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-28671,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-29558,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-30280,1,3,3.3333333333333335,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-31068,1,3,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-31465,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-31755,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-32253,1,1,2.25,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-33500,1,5,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-33507,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-33671,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-34134,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-34369,1,1,3,3,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-35191,1,2,4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-35313,1,10,3.8,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-35632,1,0,2,2,neutral,Группа не демонстрирует устойчивого рискового паттерна.
founder,FND-36467,1,5,3.4,4,neutral,Группа не демонстрирует устойчивого рискового паттерна.
