company_id,company_name,year,region,okved_section,hypothesis_code,metric,value,zscore,interpretation,interpretation_reason,criticality,criticality_score,net_profit,dividends_paid,headcount,payout_ratio,tax_to_profit,financial_pressure_ratio,rev_growth,emp_growth
C0006,ПАО «Прогресс-Ко-006»,2023,Республика Крым,Оптовая торговля,H4,financial_pressure_ratio,1.551914036413242,1.2437582354313876,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,1062061,0,4,0,3.7430712548525933,1.551914036413242,,
C0006,ПАО «Прогресс-Ко-006»,2024,Республика Крым,Оптовая торговля,H4,financial_pressure_ratio,1.4956393197809739,0.6744907594765952,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,1121873,0,5,0,3.6121789186476545,1.4956393197809739,0.08150082040001738,0.25
C0008,ООО «Омега-Маркет-008»,2023,Тульская обл.,Аудит и бухгалтерия,H5,rev_per_emp,1583313017,396.3918582123596,risk,Экстремальная выручка на сотрудника при headcount=1. Вероятны транзитные операции или ошибка в данных.,critical,4,805072246,374289772,1,0.46491451401990075,0.1594231941762901,0.6033912825073716,,
C0008,ООО «Омега-Маркет-008»,2024,Тульская обл.,Аудит и бухгалтерия,H5,rev_per_emp,1876536477,321.70550768798694,risk,Экстремальная выручка на сотрудника при headcount=1. Вероятны транзитные операции или ошибка в данных.,critical,4,884060815,0,1,0,0.28378898910930694,0.3991851029308411,0.18519614053043565,0
C0008,ООО «Омега-Маркет-008»,2025,Тульская обл.,Аудит и бухгалтерия,H5,rev_per_emp,2475772621,522.4844494584348,risk,Экстремальная выручка на сотрудника при headcount=1. Вероятны транзитные операции или ошибка в данных.,critical,4,1317767440,0,1,0,0.2109986091324278,0.32129222040799715,0.3193309329952343,0
C0010,ПАО «Строй-Холдинг-010»,2023,Мурманская обл.,Оптовая торговля,H4,financial_pressure_ratio,1.3706305531281502,0.7154887060516129,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,27947835,0,150,0,2.2706204970796486,1.3706305531281502,,
C0010,ПАО «Строй-Холдинг-010»,2025,Мурманская обл.,Оптовая торговля,H4,financial_pressure_ratio,1.3496421811374517,0.6744907594765952,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,2502550,0,124,0,10.858987033226109,1.3496421811374517,0.051121337142870704,-0.08823529411764708
C0011,ООО «Северный-Корп-011»,2023,Чувашская Республика,Оптовая торговля,H4,financial_pressure_ratio,1.3314687582793165,0.601369192461254,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,26464208,7654415,97,0.28923650388479416,2.1031784136521297,1.3314687582793165,,
C0011,ООО «Северный-Корп-011»,2024,Чувашская Республика,Оптовая торговля,H4,financial_pressure_ratio,1.5774539510827994,0.8774119780599093,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,12568248,4310809,81,0.3429920383493387,5.180807141934182,1.5774539510827994,-0.13296217870498794,-0.1649484536082474
C0012,ООО «Южный-Логистик-012»,2023,Севастополь,Розничная торговля,H4,financial_pressure_ratio,1.3016283202844556,0.33942692575056627,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,191443458,84754665,456,0.4427138220622822,1.3456624514168565,1.3016283202844556,,
C0012,ООО «Южный-Логистик-012»,2024,Севастополь,Розничная торговля,H4,financial_pressure_ratio,1.274983925764829,0.8713217048609458,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,116430065,44356826,474,0.38097398640119284,1.9972619099714495,1.274983925764829,-0.10460869880980295,0.03947368421052633
C0012,ООО «Южный-Логистик-012»,2025,Севастополь,Розничная торговля,H4,financial_pressure_ratio,1.482296440319428,1.4524664758881236,risk,Повышенное финансовое давление по прокси-индикатору.,high,3,128480362,20501713,467,0.15957079105988198,2.698668696154514,1.482296440319428,0.4201368631001092,-0.014767932489451518
C0016,АО «Промт-Групп-016»,2023,Новосибирская обл.,Производство металлоконструкций,H5,rev_per_emp,28276448.51030928,5.648468042622457,economic_signal,"Выручка на сотрудника выше отрасли. Автоматизация, крупный контракт или высокая эффективность.",medium,2,1046212562,0,194,0,0.7176307915522812,0.7964579834895542,,
C0016,АО «Промт-Групп-016»,2024,Новосибирская обл.,Производство металлоконструкций,H5,rev_per_emp,28028444.82485876,4.5519975597495534,economic_signal,"Выручка на сотрудника выше отрасли. Автоматизация, крупный контракт или высокая эффективность.",medium,2,862144201,224317619,177,0.26018573080908536,0.43292471093243484,0.6968801188556376,-0.09563098136714976,-0.08762886597938147
C0016,АО «Промт-Групп-016»,2025,Новосибирская обл.,Производство металлоконструкций,H3,net_margin,0.10279412039085896,-2.17758050909157,risk,Маржа ниже отрасли. Возможны операционные проблемы.,high,3,398761725,0,178,0,0.6641876047657282,0.7881921012956767,-0.2180609114840356,0.005649717514124353
C0016,АО «Промт-Групп-016»,2025,Новосибирская обл.,Производство металлоконструкций,H5,rev_per_emp,21793409.988764044,3.16728415040377,economic_signal,"Выручка на сотрудника выше отрасли. Автоматизация, крупный контракт или высокая эффективность.",medium,2,398761725,0,178,0,0.6641876047657282,0.7881921012956767,-0.2180609114840356,0.005649717514124353
C0016,АО «Промт-Групп-016»,2025,Новосибирская обл.,Производство металлоконструкций,H6,multi_flags,2,,economic_signal,"Сработало 2 флагов: H3(-2.2), H5(+3.2). Большинство экономически объяснимо.",medium,2,398761725,0,178,0,0.6641876047657282,0.7881921012956767,-0.2180609114840356,0.005649717514124353
C0017,ПАО «Логист-Плюс-017»,2023,Тюменская обл.,Розничная торговля,H4,financial_pressure_ratio,2.9147957905201354,5.153527916834773,risk,Высокое финансовое давление: opex+налоги+дивиденды слабо покрываются валовой прибылью.,critical,4,-335029,0,13,,,2.9147957905201354,,
C0018,ПАО «Строй-Инжиниринг-018»,2024,Республика Дагестан,Оптовая торговля,H4,financial_pressure_ratio,2.756616022295546,3.8020356131037323,risk,Высокое финансовое давление: opex+налоги+дивиденды слабо покрываются валовой прибылью.,critical,4,-19802802,0,64,,,2.756616022295546,0.017342438610765676,-0.08571428571428574
