company_id,company_name,year,region,okved_section,h1_flag,h2_flag,h3_flag,h4_flag,h5_flag,h6_flag,h1_criticality,h2_criticality,h3_criticality,h4_criticality,h5_criticality,h6_criticality,h1_reason,h2_reason,h3_reason,h4_reason,h5_reason,h6_reason,anomaly_count,max_criticality_score
C0079,ООО «Металл-Пром-079»,2023,Удмуртская Республика,Производство хлебобулочных изделий,0,0,1,0,0,0,,,high,,,,,,Маржа ниже отрасли. Возможны операционные проблемы.,,,,1,3
C0334,ПАО «Северный-Сервис-334»,2025,Саратовская обл.,Разработка ПО,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0136,АО «Бизнес-Пром-136»,2024,Республика Дагестан,Оптовая торговля,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0437,АО «Восточный-Торг-437»,2025,Курская обл.,Разработка ПО,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0028,ООО «Северный-Сервис-028»,2025,Самарская обл.,Транспортная логистика,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0324,ООО «Промт-Ко-324»,2024,Воронежская обл.,Гостиницы,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0454,АО «Промт-Ко-454»,2023,Республика Ингушетия,Рестораны и кафе,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0335,ООО «Северный-Торг-335»,2024,Сахалинская обл.,Производство хлебобулочных изделий,0,0,1,0,0,0,,,low,,,,,,Маржа выше отрасли. Повышенная эффективность.,,,,1,1
C0417,АО «Техно-Пром-417»,2023,Республика Башкортостан,Транспортная логистика,1,0,1,0,0,1,critical,,critical,,,critical,payout_ratio >= 1.5. Агрессивная дивидендная политика.,,"Маржа существенно ниже отрасли. Аномалия учёта, демпинг или скрытые расходы.",,,"Сработало 2 флагов (рисковых: 2): H1(payout=99.0), H3(-4.1). Многомерная аномалия.",3,4
C0120,АО «Северный-Ко-120»,2024,Республика Калмыкия,Рестораны и кафе,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0479,АО «Вектор-Инвест-479»,2025,Томская обл.,Строительство зданий,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0391,ООО «Союз-Плюс-391»,2025,Ненецкий АО,Управленческий консалтинг,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0229,АО «Прогресс-Торг-229»,2025,Иркутская обл.,Аудит и бухгалтерия,0,0,1,0,0,0,,,low,,,,,,Маржа выше отрасли. Повышенная эффективность.,,,,1,1
C0215,ООО «Прогресс-Холдинг-215»,2024,Республика Ингушетия,Лесозаготовка,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0378,ООО «Омега-Ко-378»,2023,Магаданская обл.,Разработка ПО,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0283,ООО «Монолит-Инвест-283»,2024,Еврейская АО,Управленческий консалтинг,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0470,АО «Ресурс-Ко-470»,2024,Республика Хакасия,Электромонтажные работы,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0313,ООО «Техно-Пром-313»,2025,Хабаровский край,Частная медицина,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0134,ПАО «Партнёр-Ко-134»,2023,Республика Крым,Производство алкогольных напитков,0,0,0,0,1,0,,,,,critical,,,,,,Экстремальная выручка на сотрудника при headcount=2. Вероятны транзитные операции или ошибка в данных.,,1,4
C0341,АО «Южный-Маркет-341»,2024,Чувашская Республика,Производство хлебобулочных изделий,0,1,0,0,0,0,,high,,,,,,Рост выручки при сокращении штата без роста производительности.,,,,,1,3
C0483,АО «Южный-Корп-483»,2025,Республика Саха (Якутия),Лесозаготовка,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0218,АО «Вектор-Холдинг-218»,2024,Воронежская обл.,Рестораны и кафе,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0047,ПАО «Вектор-Групп-047»,2024,Сахалинская обл.,Розничная торговля,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0204,АО «Ресурс-Групп-204»,2023,Республика Тыва,Производство хлебобулочных изделий,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0483,АО «Южный-Корп-483»,2024,Республика Саха (Якутия),Лесозаготовка,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0074,ПАО «Восточный-Трейд-074»,2023,Костромская обл.,Электромонтажные работы,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0154,АО «Мастер-Инжиниринг-154»,2025,Брянская обл.,Строительство зданий,0,0,0,0,1,0,,,,,medium,,,,,,"Выручка на сотрудника выше отрасли. Автоматизация, крупный контракт или высокая эффективность.",,1,2
C0326,ПАО «Финанс-Холдинг-326»,2024,Алтайский край,Электромонтажные работы,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0072,ООО «Бизнес-Корп-072»,2025,Республика Крым,IT-консалтинг,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0319,АО «Монолит-Ко-319»,2024,Чувашская Республика,Лесозаготовка,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0182,АО «Южный-Инжиниринг-182»,2023,Волгоградская обл.,Аренда недвижимости,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0463,ООО «Промт-Групп-463»,2024,Камчатский край,Рестораны и кафе,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0477,АО «Техно-Холдинг-477»,2024,Ивановская обл.,Транспортная логистика,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0189,ПАО «Атлас-Пром-189»,2025,Республика Калмыкия,Лесозаготовка,0,0,0,0,1,0,,,,,medium,,,,,,"Выручка на сотрудника выше отрасли. Автоматизация, крупный контракт или высокая эффективность.",,1,2
C0448,ПАО «Прогресс-Инвест-448»,2024,Московская обл.,Выращивание зерновых,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0036,АО «Альфа-Корп-036»,2024,Костромская обл.,IT-консалтинг,0,1,0,0,0,0,,high,,,,,,Рост выручки при сокращении штата без роста производительности.,,,,,1,3
C0121,АО «Строй-Сервис-121»,2025,Тамбовская обл.,Розничная торговля,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0453,АО «Финанс-Инвест-453»,2023,Калужская обл.,Частная медицина,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0026,АО «Техно-Маркет-026»,2023,Нижегородская обл.,Разработка ПО,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0090,АО «Строй-Ко-090»,2024,Архангельская обл.,Производство алкогольных напитков,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0007,ПАО «Капитал-Плюс-007»,2025,Москва,Электромонтажные работы,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0249,ПАО «Логист-Сервис-249»,2025,Ульяновская обл.,Производство алкогольных напитков,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0272,ПАО «Южный-Инвест-272»,2025,Москва,Производство металлоконструкций,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0188,ПАО «Северный-Ко-188»,2025,Тульская обл.,Производство пластмасс,0,0,0,0,0,0,,,,,,,,,,,,,0,0
C0448,ПАО «Прогресс-Инвест-448»,2023,Московская обл.,Выращивание зерновых,0,0,0,0,0,0,,,,,,,,,,,,,0,0
