company_id,company_name,inn,ogrn_year,region,okved_code,okved_section,founder_id,address_hash,year,revenue,cost_of_goods,gross_profit,opex,operating_profit,net_profit,taxes_paid,headcount,payroll_fund,dividends_paid,net_margin,gross_margin,operating_margin,rev_per_emp,profit_per_emp,payroll_per_emp,tax_to_profit,payout_ratio,financial_pressure_ratio,company_age,rev_growth,profit_growth,emp_growth,payroll_growth,net_margin_zscore,rev_per_emp_zscore,financial_pressure_zscore,rev_growth_zscore,emp_growth_zscore,hypothesis_code,metric,value,anomaly_zscore,interpretation,interpretation_reason,criticality,criticality_score
C0001,ООО «Строй-Плюс-001»,7680402501,2019,Ненецкий АО,25.11,Производство металлоконструкций,FND-81426,5d50d22735a7,2023,28104024,18938407,9165617,4878720,4286897,3497693,4183165,21,23828697,0,0.12445523815379606,0.3261318379175879,0.15253676840014085,1338286.857142857,166556.80952380953,1134699.857142857,1.1959783205672996,0,0.9886824858599262,4,,,,,-1.0582039015253561,-1.0632653973289277,0.953133784856529,,,,,,,,,,
C0001,ООО «Строй-Плюс-001»,7680402501,2019,Ненецкий АО,25.11,Производство металлоконструкций,FND-81426,5d50d22735a7,2024,28898327,16964058,11934269,2930965,9003304,6567245,4119741,20,19389865,2104070,0.22725346695675497,0.41297439121648805,0.31155104584428017,1444916.35,328362.25,969493.25,0.6273164774574422,0.320388534309288,0.767099853371832,5,0.02826296333934253,0.8775933165089103,-0.04761904761904767,-0.18628093680489533,0.7234347524401687,-0.9797355799287468,-0.10216959143733408,-0.259941631333848,-0.5576391830856673,,,,,,,,
C0001,ООО «Строй-Плюс-001»,7680402501,2019,Ненецкий АО,25.11,Производство металлоконструкций,FND-81426,5d50d22735a7,2025,39895305,25433458,14461847,4106215,10355632,8260411,2362873,21,13079859,3779573,0.2070522082736302,0.3624949602465754,0.2595701925326802,1899776.4285714286,393352.90476190473,622850.4285714285,0.28604787340484633,0.45755265688353763,0.7086688857930802,6,0.38054029909759146,0.2578198316036633,0.050000000000000044,-0.3254280522324421,0.1338764167883425,-0.8521788535003129,-0.11058719309583422,2.9640301080472753,0.7215482543238001,,,,,,,,
C0002,ООО «Союз-Инвест-002»,3193008687,2008,Курганская обл.,62.01,Разработка ПО,FND-26361,38ccdf8d538d,2023,109139991,28565829,80574162,19018036,61556126,52114070,11877274,64,35427791,0,0.4774974738636363,0.7382643269596751,0.5640107300357025,1705312.359375,814282.34375,553559.234375,0.22790916157575103,0,0.38343942069171005,15,,,,,-0.2794467620554854,-0.6340651894797907,-0.523559097823898,,,,,,,,,,
C0002,ООО «Союз-Инвест-002»,3193008687,2008,Курганская обл.,62.01,Разработка ПО,FND-26361,38ccdf8d538d,2024,151519856,37026148,114493708,19751888,94741820,83755447,18752342,66,84560060,0,0.5527687869502728,0.7556350106351738,0.625276597411761,2295755.393939394,1269021.9242424243,1281213.0303030303,0.22389399939564528,0,0.3362999650600887,16,0.3883073895433984,0.6071561288534939,0.03125,1.386828464693156,0.8217627977727131,-0.7189832848842578,-0.46854771248920696,2.0508686148721713,0.6137477474980265,,,,,,,,
C0002,ООО «Союз-Инвест-002»,3193008687,2008,Курганская обл.,62.01,Разработка ПО,FND-26361,38ccdf8d538d,2025,182270607,38844117,143426490,22464693,120961797,91866472,32479578,64,74183878,0,0.504011444917172,0.7868876521599558,0.6636385262051604,2847978.234375,1435413.625,1159123.09375,0.3535520336516243,0,0.38308314593768555,17,0.2029486551254378,0.09684176122897425,-0.030303030303030276,-0.12270783630002158,0.8595553272125334,-0.5550237761444721,-0.1878144184759878,0.8078020313924822,-0.44966050631773014,,,,,,,,
C0003,ПАО «Трейд-Корп-003»,679883481,2020,Ивановская обл.,86.21,Частная медицина,FND-37460,f06ae085fe74,2023,514238803,267006779,247232024,74139073,173092951,137316457,93473859,100,57551427,0,0.2670285793271808,0.4807727899133275,0.33660033041108334,5142388.03,1373164.57,575514.27,0.6807185463574843,0,0.6779580140475653,3,,,,,-0.3998631106235551,-0.20305312310617774,0.1420479826228708,,,,,,,,,,
C0003,ПАО «Трейд-Корп-003»,679883481,2020,Ивановская обл.,86.21,Частная медицина,FND-37460,f06ae085fe74,2024,588511795,374181974,214329821,89425691,124904130,102943229,96553882,108,128019880,39584526,0.17492126729592564,0.36418950787553883,0.2122372585582588,5449183.287037037,953178.0462962963,1185369.2592592593,0.9379332952534449,0.38452772838512767,1.0524158418440521,4,0.14443288131253684,-0.2503212561040662,0.08000000000000007,1.2244431923469072,-1.1630887847227438,-0.04276096358888291,2.829955777850009,0.7606772500843083,1.2208282746526353,,,,,,,,
C0003,ПАО «Трейд-Корп-003»,679883481,2020,Ивановская обл.,86.21,Частная медицина,FND-37460,f06ae085fe74,2025,477211328,257648793,219562535,80899671,138662864,124413133,35462551,95,88363092,0,0.26070867496255246,0.46009497704128266,0.2905690956271684,5023277.136842106,1309611.9263157896,930137.8105263158,0.2850386462014424,0,0.5299730302348713,5,-0.18912189686869407,0.20856062325381308,-0.12037037037037035,-0.3097705450122278,0,-0.33470258220638516,-0.28351631727944515,-1.6252406613605543,-2.0500147388721492,,,,,,,,
C0004,ПАО «Партнёр-Маркет-004»,1396568720,2015,Архангельская обл.,10.71,Производство хлебобулочных изделий,FND-62581,6b4e2b937613,2023,137439613,91536287,45903326,20472521,25430805,20660236,22808225,150,168347873,7641886,0.1503222800838358,0.3339890516135257,0.18503257135917575,916264.0866666667,137734.90666666668,1122319.1533333333,1.1039673022128111,0.36988377093078706,1.1093451485410883,8,,,,,-1.2603988260628376,-1.098854423895958,2.646876013597621,,,,,,,,,,
